,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,pop
43,0.186185417,0.184796436,0.167729184,0.166249419,0.134184628,0.140119234,0.136225183,0.140801176,0.132324634,0.129845353,0.134065839,0.130915926,0.1197473,0.126488386,0.125512209,0.120165218,0.121027966,0.124694402,0.123818569,0.114351133,0.117916569,0.116284775,0.110833528,0.115192207,0.113107593,0.113511903,AP
44,0.176067712,0.175387247,0.171744007,0.169437487,0.129774279,0.139816891,0.135357037,0.141766174,0.130596721,0.129573221,0.139444129,0.1314365,0.118159574,0.131079007,0.130641642,0.120814332,0.122125945,0.126134682,0.125077348,0.114080358,0.118684793,0.117389992,0.113021246,0.116605494,0.11440062,0.112661463,AP
45,0.192077897,0.193257378,0.164702621,0.159067799,0.122192064,0.142595983,0.135426352,0.143158682,0.131344835,0.129684663,0.136659921,0.136288938,0.120967214,0.12955089,0.126787698,0.117272396,0.123689816,0.125667791,0.123786219,0.11090197,0.117676444,0.119146115,0.116336443,0.112634942,0.114546988,0.112321192,AP
46,0.168362649,0.183055535,0.163980052,0.167640558,0.136441582,0.142849156,0.134188226,0.135018976,0.132882433,0.130443523,0.135504571,0.130034223,0.119704285,0.124747899,0.125045298,0.117944078,0.118333813,0.125682622,0.123785409,0.113855705,0.118966291,0.115827326,0.111451495,0.115214919,0.114441712,0.112987456,AP
47,0.167657576,0.186141523,0.18609098,0.172977785,0.142467574,0.155954501,0.14568041,0.129719284,0.130215576,0.125954235,0.140941921,0.131001093,0.12537865,0.125602999,0.123802475,0.115355671,0.117986078,0.123515084,0.123207339,0.118358065,0.12142819,0.119575731,0.111818752,0.11379746,0.114013443,0.110031264,AP
48,0.180409752,0.176513995,0.183821243,0.163772225,0.138299162,0.143678934,0.138750893,0.139236061,0.134675515,0.1286558,0.138214474,0.131367626,0.121169712,0.126355894,0.126756804,0.120194098,0.120411076,0.125917074,0.125715566,0.115221676,0.11884615,0.116943484,0.111792751,0.114616357,0.113803377,0.113108276,AP
49,0.15378822,0.180765411,0.173184147,0.165416921,0.140936016,0.14135278,0.136421074,0.136487087,0.132429044,0.128262725,0.135885244,0.131035784,0.119288577,0.125997684,0.124463243,0.119086039,0.119871306,0.12358702,0.124401518,0.113378765,0.11896138,0.11604285,0.111839321,0.115904204,0.113741791,0.114059033,AP
50,0.207548496,0.178881444,0.1810126,0.170068168,0.138298867,0.14489972,0.133666651,0.140201367,0.138607313,0.133833679,0.136308473,0.128457143,0.11968187,0.123809555,0.125911662,0.124650684,0.119325868,0.129014733,0.125700375,0.11290515,0.118539808,0.116030392,0.109750269,0.117782593,0.113679286,0.113453331,AP
51,0.192492433,0.17851315,0.170596539,0.169875458,0.1347903,0.142537894,0.136559034,0.139505797,0.131464055,0.132439782,0.135621504,0.130037529,0.121422843,0.124625796,0.125689643,0.118389594,0.118133493,0.123655499,0.123660095,0.115723054,0.117789752,0.117671423,0.112252569,0.114483735,0.114417635,0.113021703,AP
52,0.184239299,0.183275735,0.175555096,0.170029877,0.146219572,0.147996933,0.136617806,0.131800228,0.136947295,0.125438201,0.138322472,0.129931846,0.124045934,0.122761413,0.120240798,0.118834956,0.116629627,0.122736746,0.125111287,0.117487653,0.120428291,0.116035782,0.110705731,0.112624129,0.111170292,0.111392536,AP
53,0.212820044,0.207176643,0.171565833,0.166833279,0.137117331,0.141466454,0.167000226,0.137722202,0.119275168,0.127991688,0.132620251,0.145355656,0.117427661,0.146539549,0.122125604,0.110798111,0.126289588,0.121280705,0.109681342,0.114814679,0.11080027,0.11317259,0.108036838,0.110921041,0.119293494,0.10850049,OI
54,0.142296331,0.166748599,0.139436953,0.161433475,0.12903888,0.144864262,0.136855697,0.155470717,0.121956719,0.130086684,0.138606327,0.141379594,0.126118001,0.126814356,0.127128621,0.117144504,0.119687163,0.120826042,0.125719432,0.121940018,0.118535965,0.117815338,0.111462807,0.114516684,0.112486197,0.112809114,SI
55,0.198333023,0.184197491,0.174314806,0.167900778,0.144880671,0.142185201,0.148912231,0.129052036,0.125266523,0.128161548,0.140201703,0.133385257,0.125883929,0.128225788,0.130705551,0.116881472,0.123162032,0.12177651,0.124435335,0.117992834,0.117123186,0.119659935,0.114271129,0.117848626,0.114027561,0.116394788,SI
56,0.200699491,0.19731576,0.159451241,0.16780326,0.136190067,0.136203276,0.12347828,0.141025883,0.131367881,0.130144469,0.131339837,0.133261493,0.119118351,0.125828157,0.127908645,0.119199123,0.120202811,0.125360336,0.122197448,0.113777405,0.119389809,0.119450755,0.112563565,0.115165951,0.116118696,0.112867635,SI
57,0.175513978,0.203009387,0.178873627,0.188001888,0.149126436,0.153986858,0.149998999,0.125583419,0.122083976,0.121810696,0.138554734,0.13687214,0.123452521,0.137079668,0.128694081,0.11287816,0.126104467,0.11852638,0.121163061,0.117585066,0.116471873,0.116976282,0.114333643,0.117137314,0.117469095,0.114145007,SI
58,0.207685725,0.172434043,0.183384758,0.164722428,0.132940641,0.153474995,0.155386441,0.13673704,0.118723494,0.127329401,0.135227208,0.130887528,0.120944058,0.132071716,0.126490948,0.1156779,0.119915251,0.123916129,0.122624335,0.110552047,0.120718576,0.115756356,0.112054596,0.111382411,0.114028652,0.109140529,SI
59,0.18503129,0.190606234,0.177207225,0.161317613,0.138401092,0.148995953,0.155340915,0.13105522,0.121189745,0.125978993,0.134628293,0.13926195,0.115204899,0.131757736,0.130220196,0.117386176,0.128173585,0.12906852,0.117930523,0.112174559,0.117490334,0.11258635,0.108982126,0.118236031,0.111341674,0.11327345,SI
60,0.243109538,0.204800052,0.116480126,0.141490123,0.11717654,0.1,0.113883177,0.139569829,0.108176525,0.134832716,0.138251126,0.120927664,0.114563535,0.135181492,0.133283364,0.109605364,0.121690043,0.127451548,0.11749677,0.113280618,0.128480965,0.122078217,0.10883745,0.11420344,0.120231042,0.108155948,SI
61,0.156104234,0.177299599,0.137626754,0.161007247,0.12649601,0.134953509,0.126589505,0.146868667,0.125713511,0.125928432,0.133907925,0.133229937,0.123943355,0.128166759,0.129728819,0.117873017,0.122916626,0.121650515,0.12037802,0.117347136,0.119306157,0.117922989,0.11500603,0.114885959,0.113872538,0.112302398,SI
62,0.145049404,0.158070449,0.141199203,0.153352987,0.127842478,0.139408944,0.138945508,0.151902559,0.116976106,0.125571804,0.137222128,0.143686695,0.124392167,0.132121649,0.12862511,0.110297972,0.122820467,0.12221177,0.123088053,0.125050931,0.119854799,0.11730835,0.111623641,0.110358581,0.111562575,0.112251021,SI
63,0.139515017,0.193636568,0.172792724,0.181549914,0.142584829,0.150541317,0.145331757,0.127901956,0.12102121,0.125655061,0.140045875,0.13552544,0.128956471,0.130949482,0.127466046,0.111517452,0.124658587,0.117504986,0.120601917,0.120065586,0.116161257,0.119624931,0.114474932,0.115227038,0.117232222,0.112668833,SI
64,0.207682285,0.187898679,0.173829406,0.162123915,0.134046198,0.146894415,0.148767604,0.125202598,0.122081527,0.120821188,0.138069313,0.136554337,0.128348143,0.137499398,0.125661387,0.111680402,0.129299314,0.11609774,0.11657018,0.119904232,0.110575574,0.11895345,0.114761564,0.116534663,0.118328152,0.115678574,SI
65,0.176959688,0.182945132,0.156830994,0.148376339,0.122580636,0.15156732,0.139392351,0.148296279,0.125876242,0.127770748,0.138350499,0.133941597,0.121673122,0.128995037,0.130929294,0.119030842,0.122578832,0.12462278,0.122136012,0.117604385,0.118451205,0.117221881,0.115651523,0.116397318,0.111428357,0.110906035,SI
66,0.154958381,0.15581609,0.19825208,0.151544298,0.117898985,0.156298942,0.145514615,0.158044579,0.109989339,0.124991107,0.134203378,0.117823805,0.111492659,0.121726644,0.130455951,0.110013381,0.13039993,0.128687115,0.126754702,0.109797369,0.132647257,0.116018542,0.112775374,0.116593218,0.112658161,0.11880131,SI
67,0.176621505,0.183241094,0.167832766,0.174098569,0.132349576,0.144960213,0.169445259,0.147033118,0.116898943,0.133688566,0.133377795,0.153058343,0.114335223,0.142655535,0.126660086,0.117765706,0.125679795,0.12164412,0.114707383,0.121483931,0.111233535,0.113820066,0.111598529,0.111078004,0.115065715,0.111500359,SI
